venue,latitude,longitude
"Shere Bangla National Stadium, Mirpur",,
Queens Sports Club,-20.1450755,28.5879876
Kinrara Academy Oval,,
"Iqbal Stadium, Faisalabad",31.4338475,73.0857949
"National Stadium, Karachi",24.8952212,67.0816725
Harare Sports Club,-17.8136915,31.0504604
Adelaide Oval,-34.9155596,138.5962772
Melbourne Cricket Ground,-37.819909,144.983225
Dubai International Cricket Stadium,25.0467384,55.219007
Boland Park,-33.7406522,18.9974819
"R Premadasa Stadium, Colombo",6.9399983,79.8722901
Reliance Stadium,17.4891696,78.3236847
"Warner Park, Basseterre",17.2984395,-62.7220774
Sheikh Zayed Stadium,24.4161287,54.45363
"Seddon Park, Hamilton",-37.7867613,175.2742998
"MA Chidambaram Stadium, Chepauk",13.0627521,80.2784304
Western Australia Cricket Association Ground,,
The Rose Bowl,50.9237276,-1.3236178
Kennington Oval,-33.8725074,151.02235
Kingsmead,53.2436546,-2.5188349
"Junction Oval, Melbourne",-37.8559903,144.9801966
"Kotambi Stadium, Vadodara",,
Sophia Gardens,51.485159,-3.1904734
"Sir Vivian Richards Stadium, North Sound",,
"Kingsmead, Durban",-29.8495671,31.0277475
"Westpac Stadium, Wellington",-41.2730528,174.7858728
Riverside Ground,54.8496667,-1.5609563
Brabourne Stadium,18.9319276,72.8249626
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",,
"County Ground, Derby",52.9435658,-1.4131481
"Queen's Park Oval, Port of Spain",10.667411,-61.5237463
M Chinnaswamy Stadium,12.9788127,77.5995775
Narayanganj Osmani Stadium,23.6277774,90.493218
"Basin Reserve, Wellington",-41.3003599,174.7802545
Newlands,-33.9742832,18.4572951
"Kensington Oval, Bridgetown",13.105317,-59.6225631
"Ray Mitchell Oval, Harrup Park, Mackay",,
"Mannofield Park, Aberdeen",,
Shere Bangla National Stadium,,
"Castle Avenue, Dublin",53.3708055,-6.2027526
"Wankhede Stadium, Mumbai",18.9385497,72.8257408
"Manuka Oval, Canberra",-35.3179533,149.1347561
"Tribhuvan University International Cricket Ground, Kirtipur",,
Saxton Oval,-41.3309414,173.2128396
Saurashtra Cricket Association Stadium,22.3627855,70.7100844
Manuka Oval,-35.3179533,149.1347561
"Beausejour Stadium, Gros Islet",14.0692122,-60.9317208
Malahide,53.4508401,-6.15367
"Boland Bank Park, Paarl",,
Edgbaston,52.4709941,-1.9225861
New Wanderers Stadium,,
Bangabandhu National Stadium,28.6253603,77.1953462
Bay Oval,-37.6528558,176.1907126
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,,
"St George's Park, Port Elizabeth",-33.9657696,25.6073323
"Queens Sports Club, Bulawayo",-20.1450755,28.5879876
"Barsapara Cricket Stadium, Guwahati",,
Stellenbosch University 1,,
"Davies Park, Queenstown",,
"Sabina Park, Kingston",17.9779974,-76.7825867
R Premadasa Stadium,6.9399983,79.8722901
P Sara Oval,,
The Wanderers Stadium,,
Grace Road,51.3876472,-0.1014008
Clontarf Cricket Club Ground,,
"Grand Prairie Stadium, Dallas",32.7683435,-96.9860041
Trent Bridge,52.9383953,-1.1363847
"Windsor Park, Roseau",15.3018698,-61.3844608
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),,
"Sir Vivian Richards Stadium, North Sound, Antigua",,
"Punjab Cricket Association Stadium, Mohali",,
Sydney Cricket Ground,-33.8914241,151.2247484
Sir Vivian Richards Stadium,17.1027029,-61.7848897
Multan Cricket Stadium,30.170783,71.5247746
"Kensington Oval, Bridgetown, Barbados",13.105317,-59.6225631
Boland Bank Park,52.1941992,20.9411034
JSCA International Stadium Complex,23.3104521,85.2748774
Rawalpindi Cricket Stadium,33.6511816,73.07598
Seddon Park,-37.7867613,175.2742998
"Titwood, Glasgow",55.8356209,-4.2857484
"Maple Leaf North-West Ground, King City",,
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",,
Khan Shaheb Osman Ali Stadium,23.6502114,90.488824
Senwes Park,-26.6954244,27.1002894
Madhavrao Scindia Cricket Ground,,
"Sportpark Maarschalkerweerd, Utrecht",,
"Narendra Modi Stadium, Ahmedabad",23.0917717,72.5973345
Sawai Mansingh Stadium,26.8939911,75.8032269
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",,
Rangiri Dambulla International Stadium,,
ICC Academy,,
"Providence Stadium, Guyana",6.7577816,-58.1778885
Old Trafford,53.4631095,-2.2913865
Hagley Oval,-43.5344119,172.618646
"Mangaung Oval, Bloemfontein",,
"Gaddafi Stadium, Lahore",31.5133615,74.3334644
"Arnos Vale Ground, Kingstown",,
Sylhet International Cricket Stadium,24.9209101,91.8685606
Lord's,51.5289277,-0.1715767
"Vidarbha Cricket Association Stadium, Jamtha",,
"Greenfield International Stadium, Thiruvananthapuram",8.5723164,76.8847502
"De Beers Diamond Oval, Kimberley",-28.7426421,24.7967746
"Holkar Cricket Stadium, Indore",22.7242512,75.8796703
National Stadium,39.9914041,116.3902864
Sharjah Cricket Stadium,25.3308493,55.4208718
County Ground,51.5644464,-1.7709719
"Boland Park, Paarl",-33.7406522,18.9974819
Harlequins,53.3707864,-1.4900399
Central Broward Regional Park Stadium Turf Ground,,
"Brian Lara Stadium, Tarouba, Trinidad",,
Holkar Cricket Stadium,22.7242512,75.8796703
Sinhalese Sports Club,,
Bert Sutcliffe Oval,-43.6466978,172.4627293
"City Oval, Pietermaritzburg",,
"Coolidge Cricket Ground, Antigua",17.1409666,-61.7948025
Lahore City Cricket Association Ground,,
"Desert Springs Cricket Ground, Almeria",37.2526943,-1.8231444
"Sardar Patel Stadium, Motera",23.0925447,72.5978635
AMI Stadium,-43.5437826,172.6040684
Feroz Shah Kotla,28.6377017,77.2431069
Eden Park,-36.8750352,174.7440567
SuperSport Park,-25.8596238,28.1956445
Stellenbosch University 2,,
"Gymkhana Club Ground, Nairobi",,
Westpac Stadium,-41.2730528,174.7858728
"Allan Border Field, Brisbane",-27.4351989,153.0462885
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",,
Jade Stadium,,
"Eden Gardens, Kolkata",,
"Zahur Ahmed Chowdhury Stadium, Chattogram",,
Providence Stadium,,
"M Chinnaswamy Stadium, Bengaluru",,
"Kennington Oval, London",,
"New Wanderers Stadium, Johannesburg",,
"Wanderers Cricket Ground, Windhoek",,
"The Village, Malahide",,
"R.Premadasa Stadium, Khettarama",,
Pallekele International Cricket Stadium,,
"United Cricket Club Ground, Windhoek",,
Headingley,,
Bradman Oval,,
Louth Cricket Club,,
Diamond Oval,,
Bellerive Oval,,
"Sportpark Westvliet, The Hague",,
Nehru Stadium,,
"Daren Sammy National Cricket Stadium, Gros Islet",,
Dubai Sports City Cricket Stadium,,
Barabati Stadium,,
"Cambusdoon New Ground, Ayr",,
"Civil Service Cricket Club, Stormont",,
Bulawayo Athletic Club,,
Eden Gardens,,
MA Aziz Stadium,,
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),,
"VRA Ground, Amstelveen",,
Gymkhana Club Ground,,
"SuperSport Park, Centurion",,
"Bay Oval, Mount Maunganui",,
"ICC Academy, Dubai",,
"MA Chidambaram Stadium, Chepauk, Chennai",,
"County Ground, New Road, Worcester",,
Docklands Stadium,,
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,,
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",,
"Buffalo Park, East London",,
Wankhede Stadium,,
"Cazaly's Stadium, Cairns",,
"Forthill, Dundee",,
"Diamond Oval, Kimberley",,
Royal Chiangmai Golf Club,,
Gaddafi Stadium,,
"Brisbane Cricket Ground, Woolloongabba",,
"Darren Sammy National Cricket Stadium, St Lucia",,
"The Wanderers Stadium, Johannesburg",,
"Three Ws Oval, Cave Hill, Barbados",,
"Maharashtra Cricket Association Stadium, Pune",,
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",,
North-West University No1 Ground,,
Mangaung Oval,,
"Nehru Stadium, Fatorda",,
Galle International Stadium,,
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",,
"Grange Cricket Club Ground, Raeburn Place",,
"Civil Service Cricket Club, Stormont, Belfast",,
Maple Leaf North-West Ground,,
"Observatory Lane, Rathmines",,
Willowmoore Park,,
St George's Park,,
"Riverside Ground, Chester-le-Street",,
OUTsurance Oval,,
Keenan Stadium,,
"Dr DY Patil Sports Academy, Navi Mumbai",,
Zahur Ahmed Chowdhury Stadium,,
"Lord's, London",,
North Marine Road Ground,,
"Sedgars Park, Potchefstroom",,
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,,
Iqbal Stadium,,
University Oval,,
Green Park,,
National Cricket Stadium,,
"Amini Park, Port Moresby",,
"Barabati Stadium, Cuttack",,
"Hazelaarweg, Rotterdam",,
"Mission Road Ground, Mong Kok",,
Sharjah Cricket Association Stadium,,
"Himachal Pradesh Cricket Association Stadium, Dharamsala",,
ICC Global Cricket Academy,,
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",,
"National Cricket Stadium, St George's",,
Queenstown Events Centre,,
P Saravanamuttu Stadium,,
"McLean Park, Napier",,
"St Lawrence Ground, Canterbury",,
Maharashtra Cricket Association Stadium,,
McLean Park,,
"Queen's Park Oval, Port of Spain, Trinidad",,
"The Village, Malahide, Dublin",,
"Hagley Oval, Christchurch",,
"Newlands, Cape Town",,
Mannofield Park,,
"Headingley, Leeds",,
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",,
"National Cricket Stadium, Grenada",,
"St George's Park, Gqeberha",,
"Kensington Oval, Barbados",,
"Toronto Cricket, Skating and Curling Club",,
"Old Trafford, Manchester",,
Arnos Vale Ground,,
"Queen's Park (New), St George's, Grenada",,
International Sports Stadium,,
Tribhuvan University International Cricket Ground,,
"Trent Bridge, Nottingham",,
"Senwes Park, Potchefstroom",,
Sportpark Het Schootsveld,,
North Sydney Oval,,
"Bready Cricket Club, Magheramason",,
"County Ground, Bristol",,
"Moosa Cricket Stadium, Pearland",,
Wanderers Cricket Ground,,
"Edgbaston, Birmingham",,
Vidarbha Cricket Association Ground,,
"Arun Jaitley Stadium, Delhi",,
Himachal Pradesh Cricket Association Stadium,,
"Antigua Recreation Ground, St John's",,
Chittagong Divisional Stadium,,
"John Davies Oval, Queenstown",,
"County Ground, New Road",,
"Niranjan Shah Stadium, Rajkot",,
Southend Club Cricket Stadium,,
"Punjab Cricket Association IS Bindra Stadium, Mohali",,
Sinhalese Sports Club Ground,,
"Rajiv Gandhi International Stadium, Uppal",,
Mombasa Sports Club Ground,,
Barsapara Cricket Stadium,,
Buffalo Park,,
Sheikh Kamal International Cricket Stadium,,
Mulpani Cricket Ground,,
Basin Reserve,,
"The Cooper Associates County Ground, Taunton",,
"Takashinga Sports Club, Highfield, Harare",,
M.Chinnaswamy Stadium,,
Arbab Niaz Stadium,,
"Queen's Park Oval, Trinidad",,
Chevrolet Park,,
Eden Park Outer Oval,,
"The Royal & Sun Alliance County Ground, Bristol",,
Colombo Cricket Club Ground,,
"Saurashtra Cricket Association Stadium, Rajkot",,
"Saxton Oval, Nelson",,
VRA Cricket Ground,,
Allan Border Field,,
"County Ground, Chelmsford",,
Nondescripts Cricket Club Ground,,
Shaheed Chandu Stadium,,
"Terdthai Cricket Ground, Bangkok",,
"Tony Ireland Stadium, Townsville",,
Welagedara Stadium,,
"Goodyear Park, Bloemfontein",,
"The Rose Bowl, Southampton",,
"Shaheed Veer Narayan Singh International Stadium, Raipur",,
VRA Ground,,
St Lawrence Ground,,
The Cooper Associates County Ground,,
"Eden Park, Auckland",,
"Sir Vivian Richards Stadium, Antigua",,
"Bangabandhu National Stadium, Dhaka",,
"Riverway Stadium, Townsville",,
W.A.C.A. Ground,,
FTZ Sports Complex (BOI),,
"Warner Park, Basseterre, St Kitts",,
Chilaw Marians Cricket Club Ground,,
Marrara Cricket Ground,,
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,,
"Sophia Gardens, Cardiff",,
Goodyear Park,,
Ruaraka Sports Club Ground,,
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",,
Sher-e-Bangla National Cricket Stadium,,
Brisbane Cricket Ground,,
Greenfield International Stadium,,
"Niaz Stadium, Hyderabad",,
Old Hararians,,
"Westpac Park, Hamilton",,
Captain Roop Singh Stadium,,
"Willowmoore Park, Benoni",,
"County Ground, Northampton",,
Cobham Oval (New),,
The Vineyard,,
"Choice Moosa Stadium, Pearland",,
"P Sara Oval, Colombo",,
Indian Petrochemicals Corporation Limited Sports Complex Ground,,
"Great Barrier Reef Arena, Mackay",,
"North Sydney Oval, Sydney",,
Affies Park,,
Nahar Singh Stadium,,
"University Oval, Dunedin",,
Perth Stadium,,
Arun Jaitley Stadium,,
De Beers Diamond Oval,,
Sedgars Park,,
R.Premadasa Stadium,,
Carisbrook,,
"Nahar Singh Stadium, Faridabad",,
"North West Cricket Stadium, Potchefstroom",,
Castle Avenue,,
Daren Sammy National Cricket Stadium,,
Maharani Usharaje Trust Cricket Ground,,
Junction Oval,,
"Marrara Cricket Ground, Darwin",,
"Sky Stadium, Wellington",,
Hurstville Oval,,
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",,
Titwood,,
"Sinovich Park, Sinoville",,
"JSCA International Stadium Complex, Ranchi",,
"Grace Road, Leicester",,
Sheikh Abu Naser Stadium,,
"Nehru Stadium, Poona",,
"Bellerive Oval, Hobart",,
"Sinhalese Sports Club Ground, Colombo",,
"Grange Cricket Club, Raeburn Place",,
Zohur Ahmed Chowdhury Stadium,,
Khettarama Stadium,,
"Sunrise Sports Club, Harare",,
"Sabina Park, Kingston, Jamaica",,
YMCA Cricket Club,,
"Southend Club Cricket Stadium, Karachi",,
"MA Aziz Stadium, Chittagong",,
Peter Burge Oval,,
Jaffery Sports Club Ground,,
Sir Paul Getty's Ground,,
"Brisbane Cricket Ground, Woolloongabba, Brisbane",,
"Captain Roop Singh Stadium, Gwalior",,
Vidarbha C.A. Ground,,
"Old Hararians, Harare",,
"Zayed Cricket Stadium, Abu Dhabi",,
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",,
Sector 16 Stadium,,
"County Ground, Hove",,
"Bundaberg Rum Stadium, Cairns",,
Cambusdoon New Ground,,
The Hills Cricket Club Ground,,
Queen's Park Oval,,
Eden Park No 2,,
Sheikhupura Stadium,,
"Arnos Vale Ground, Kingstown, St Vincent",,
"Sardar Patel (Gujarat) Stadium, Motera",,
"Jade Stadium, Christchurch",,
"Clontarf Cricket Club Ground, Dublin",,
John Davies Oval,,
Haslegrave Ground,,
Karen Rolton Oval,,
"Western Australia Cricket Association Ground, Perth",,
